brand, product_name, shipping
MSI,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti GAMING 8G Video Card,$4.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1070 Ti GAMING 8G,$4.99 Shipping
EVGA,EVGA GeForce GTX 1070 Ti  DirectX 12 08G-P4-6775-KR Video Card ,$4.99 Shipping
ASUS,ASUS ROG GeForce GTX 1070 Ti STRIX-GTX1070TI-A8G-GAMING Video Card,$4.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1070 Ti DirectX 12 ZT-P10710B-10P Video Card - AMP! EXTREME Edition,$4.99 Shipping
XFX,XFX Radeon RX 580 DirectX 12 RX-580P427D6 GTS XXX Edition Video Card w/ Backplate,$4.99 Shipping
ASUS,ASUS GeForce GTX 1060 DUAL-GTX1060-O6G Video Card,Free Shipping
AMD,AMD Radeon Pro SSG 100-506014 16GB + 2TB 2048-bit HBM2 + SSG CrossFire Supported Video Card,$4.99 Shipping
EVGA,EVGA GeForce GTX 1060 GAMING| ACX 2.0 (Single Fan)| 03G-P4-6160-KR| 3GB GDDR5| DX12 OSD Support (PXOC)| Only 6.8 Inches,$4.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1070 Mini| ZT-P10700G-10M| 8GB GDDR5,$4.99 Shipping
MSI,MSI Radeon RX 580 DirectX 12 RX 580 GAMING X 4G Video Card,Free Shipping
XFX,XFX RS XXX Edition Radeon RX 570 DirectX 12 RX-570P427D6 4GB OC+ 1284 MHz XFX Custom Backplate 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,$4.99 Shipping
